Time,Open,High,Low,Last,Change,%Chg,Volume
07/14/2022,482.45,486.68,473.4254,484.64,2.91,+0.60%,1995600
07/13/2022,474.98,485.6363,472.2875,481.73,0.36,+0.07%,1766700
07/12/2022,487.82,492.6,480.07,481.37,-1.49,-0.31%,2116000
07/11/2022,489.49,491.62,480.98,482.86,-15.83,-3.17%,2148100
07/08/2022,492.99,499.63,490.0001,498.69,0.15,+0.03%,1271300
07/07/2022,488.11,501.39,488.11,498.54,15.93,+3.30%,2131800
07/06/2022,480.53,487.05,475.5,482.61,6.31,+1.32%,2297500
07/05/2022,472,476.93,463.91,476.3,-1.54,-0.32%,2071600
07/01/2022,479.41,484.265,469.43,477.84,-7.97,-1.64%,2131600
06/30/2022,488.03,493.74,480.71,485.81,-4.6,-0.94%,1888900
06/29/2022,495.48,495.93,486.67,490.41,-8.04,-1.61%,1444300
06/28/2022,512.61,514.15,498.105,498.45,-7.26,-1.44%,1566900
06/27/2022,513.8,514.035,502.82,505.71,-3.38,-0.66%,1320700
06/24/2022,505,511.8,501.445,509.09,12.51,+2.52%,2120100
06/23/2022,501.75,501.75,491.01,496.58,0.48,+0.10%,1670700
06/22/2022,496.31,503.77,494.2,496.1,-7.67,-1.52%,2472100
06/21/2022,504.08,510.91,502.89,503.77,5.12,+1.03%,2190000
06/17/2022,495,500.36,487.87,498.65,1.47,+0.30%,4350300
06/16/2022,511.95,514.43,492.275,497.18,-29.53,-5.61%,3724400
06/15/2022,529.15,533.83,515.52,526.71,6.54,+1.26%,1914000
06/14/2022,524.97,524.97,514.59,520.17,2.55,+0.49%,2438100
06/13/2022,526.78,533,516.021,517.62,-23.65,-4.37%,3161900
06/10/2022,550.09,551.0431,539.7219,541.27,-14.95,-2.69%,2402400
06/09/2022,561.16,573.64,555.93,556.22,-9.14,-1.62%,1878700
06/08/2022,571.82,576.27,562.14,565.36,-7.63,-1.33%,2400500
06/07/2022,560.54,574.54,557.53,572.99,11.76,+2.10%,1589400
06/06/2022,571.52,572.72,557.54,561.23,-2.09,-0.37%,1455600
06/03/2022,568.87,569.6,560.98,563.32,-13.42,-2.33%,2056100
06/02/2022,577.75,577.77,568.13,576.74,3.12,+0.54%,2948900
06/01/2022,587.58,590.94,568.43,573.62,-6.51,-1.12%,1834400
05/31/2022,584.5,587.025,576,580.13,-3.15,-0.54%,3000900
05/27/2022,562.09,585.455,560.01,583.28,32.62,+5.92%,3730100
05/26/2022,531.54,554.57,527.72,550.66,19.03,+3.58%,3974200
05/25/2022,523.9,537.45,523.9,531.63,7.43,+1.42%,1784200
05/24/2022,526.66,528.87,516.19,524.2,-2.16,-0.41%,2506000
05/23/2022,524,535.57,514.26,526.36,-16.83,-3.10%,5858500
05/20/2022,553.9,554.99,512.44,543.19,-3.02,-0.55%,4028100
05/19/2022,558,560.75,538.96,546.21,-24.36,-4.27%,3488400
05/18/2022,600,600.72,566.18,570.57,-37.58,-6.18%,3502400
05/17/2022,595.45,609,593.61,608.15,25.48,+4.37%,2467600
05/16/2022,584.38,589.14,577.65,582.67,-5.57,-0.95%,1419000
05/13/2022,577.05,591.59,573.5,588.24,16.67,+2.92%,1945000
05/12/2022,563.4,573.61,558.26,571.57,4.46,+0.79%,2551700
05/11/2022,574.58,584.69,565.86,567.11,-14.28,-2.46%,2665900
05/10/2022,580.49,591.15,571.8,581.39,18.47,+3.28%,2927300
05/09/2022,572.88,578,560.27,562.92,-17.18,-2.96%,3007300
05/06/2022,574.94,589.98,569.43,580.1,0.11,+0.02%,2074700
05/05/2022,594.23,597.865,574.285,579.99,-23.67,-3.92%,3280600
05/04/2022,581.79,604.07,573.98,603.66,22.49,+3.87%,2389500
05/03/2022,576.01,586.75,571.7666,581.17,4.82,+0.84%,1706400
05/02/2022,557.14,577.64,556.38,576.35,21.96,+3.96%,2672400
04/29/2022,572.62,578.2806,553.395,554.39,-24.55,-4.24%,2611000
04/28/2022,565.94,585.02,557.97,578.94,19.4,+3.47%,2233400
04/27/2022,555.79,570.075,555,559.54,-0.53,-0.09%,1931300
04/26/2022,583.8,585.46,559.71,560.07,-27.81,-4.73%,3580800
04/25/2022,581.49,588.76,571.12,587.88,0.93,+0.16%,2695900
04/22/2022,590.11,598.74,586.26,586.95,-5.78,-0.98%,2106500
04/21/2022,605.54,615.87,590.66,592.73,-4.99,-0.83%,2035200
04/20/2022,604.2,613.43,595.13,597.72,0.1,+0.02%,1391900
04/19/2022,579.36,598.695,579.36,597.62,11.12,+1.90%,1658200
04/18/2022,572.85,591.22,572.85,586.5,12.65,+2.20%,2137400
04/14/2022,594.99,597.06,572.86,573.85,-18.69,-3.15%,2738400
04/13/2022,588.5,596.71,586.05,592.54,7.47,+1.28%,2026700
04/12/2022,589.11,598.585,582.17,585.07,4.46,+0.77%,1734900
