Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
06/13/2023,66.47,68.64,66.45,68.42,2.2,+3.32%,10156,28635
06/12/2023,68.59,68.59,65.9,66.22,-2.5,-3.64%,10735,29716
06/09/2023,69.24,70.08,68.67,68.72,-0.8,-1.15%,4486,29761
06/08/2023,70.3,71.15,67.8,69.52,-1.03,-1.46%,5757,29820
06/07/2023,69.4,71,69.17,70.55,0.8,+1.15%,3593,29517
06/06/2023,69.75,70,68.37,69.75,-0.35,-0.50%,4087,28885
06/05/2023,72.14,72.14,69.73,70.1,0.2,+0.29%,4433,28189
06/02/2023,68.4,70.23,68.4,69.9,1.43,+2.09%,3416,28296
06/01/2023,66.49,69.16,66.41,68.47,1.72,+2.58%,2202,28101
05/31/2023,67.64,68,66.05,66.75,-1.25,-1.84%,4088,28319
05/30/2023,71,71.16,67.78,68,-2.65,-3.75%,5297,27827
05/26/2023,69.54,70.8,69.51,70.65,0.8,+1.15%,1455,28089
05/25/2023,71.6,71.65,69.09,69.85,-1.99,-2.77%,7668,27890
05/24/2023,71.14,71.9,70.96,71.84,1.32,+1.87%,5508,25771
05/23/2023,69.98,70.95,69.75,70.52,0.82,+1.18%,3220,25676
05/22/2023,69.3,69.82,68.78,69.7,0.25,+0.36%,1942,25830
05/19/2023,70.15,70.98,69.33,69.45,-0.49,-0.70%,3450,25541
05/18/2023,70.4,70.41,69.72,69.94,-0.67,-0.95%,1579,25431
05/17/2023,68.45,70.87,68.05,70.61,2.05,+2.99%,1923,25193
05/16/2023,69.03,69.1,68.28,68.56,-0.23,-0.33%,869,25138
05/15/2023,67.25,69.05,67.25,68.79,1.06,+1.57%,2561,25165
05/12/2023,68.35,69.13,67.69,67.73,-0.86,-1.25%,1474,25261
05/11/2023,70.36,70.68,68.54,68.59,-1.53,-2.18%,1913,25300
05/10/2023,70.23,70.97,69.64,70.12,-0.85,-1.20%,2663,25374
05/09/2023,70.07,70.97,69,70.97,0.67,+0.95%,1669,25470
05/08/2023,68.9,70.34,68.9,70.3,1.59,+2.31%,2226,25378
05/05/2023,66.56,68.81,66.56,68.71,2.39,+3.60%,2205,24931
05/04/2023,66.25,67.36,65.24,66.32,-0.32,-0.48%,6453,24931
05/03/2023,68.78,69,66.31,66.64,-2.26,-3.28%,7460,24968
05/02/2023,71.97,72.42,68.75,68.9,-3.31,-4.58%,2169,24208
