Time,Open,High,Low,Last,Change,%Chg,Volume
05/25/2022,336.02,345.65,336.02,343.1,4.85,+1.43%,417000
05/24/2022,340.17,341.44,333,338.25,-6.67,-1.93%,643900
05/23/2022,338.87,345.44,337.28,344.92,7.15,+2.12%,523600
05/20/2022,341.22,343.01,327.06,337.77,0.55,+0.16%,653600
05/19/2022,337.34,343.0099,334.823,337.22,-2.37,-0.70%,648400
05/18/2022,350.95,352.334,338.35,339.59,-16.41,-4.61%,577900
05/17/2022,353.58,356.39,349.12,356,9.8,+2.83%,490800
05/16/2022,347.9,350.925,343.8508,346.2,-4.18,-1.19%,2103700
05/13/2022,342.14,352.11,341.18,350.38,12.77,+3.78%,625500
05/12/2022,334.87,342.75,329.63,337.61,-2.5,-0.74%,1252300
05/11/2022,348.78,355.86,339.17,340.11,-12.06,-3.42%,2349300
05/10/2022,355.51,357.1,346.23,352.17,5.04,+1.45%,1740600
05/09/2022,356.31,358.3,345.52,347.13,-15.62,-4.31%,2185800
05/06/2022,363.8,369.02,357.055,362.75,-3.98,-1.09%,1772100
05/05/2022,380.63,380.95,362.33,366.73,-19.73,-5.11%,863200
05/04/2022,374.85,387.02,367.65,386.46,12.95,+3.47%,3289900
05/03/2022,372.75,375.5,370.152,373.51,0.24,+0.06%,406000
05/02/2022,366.38,373.6,362.9,373.27,6.07,+1.65%,711700
04/29/2022,378.84,384.22,366.66,367.2,-15.93,-4.16%,615500
04/28/2022,374.2,385.39,371.7,383.13,14.9,+4.05%,571300
04/27/2022,366.7,375.17,366.2,368.23,3.92,+1.08%,1706200
04/26/2022,375.58,375.69,364.31,364.31,-14.42,-3.81%,712800
04/25/2022,370.92,378.92,369.245,378.73,6.08,+1.63%,644200
04/22/2022,383.25,384.8556,372.19,372.65,-10.59,-2.76%,753000
04/21/2022,394.35,398.5186,381.92,383.24,-7.52,-1.92%,459800
04/20/2022,396.13,397.25,389.72,390.76,-1.62,-0.41%,405200
04/19/2022,383.89,393.01,382.29,392.38,7.75,+2.01%,368600
04/18/2022,382.43,387.24,381.2055,384.63,0.45,+0.12%,673000
04/14/2022,394.27,395.1387,384,384.18,-9.74,-2.47%,392700
04/13/2022,387.26,395.26,386.0871,393.92,6.75,+1.74%,591900
04/12/2022,393.98,396.85,385.54,387.17,-1.06,-0.27%,2719400
04/11/2022,392.54,392.88,387.8938,388.23,-9.42,-2.37%,499700
04/08/2022,401.49,402.25,396.66,397.65,-5.92,-1.47%,444300
04/07/2022,401.6,406.01,397.51,403.57,1.25,+0.31%,330800
04/06/2022,406.78,407.04,399.21,402.32,-11.1,-2.68%,599100
04/05/2022,421.71,422.3,412,413.42,-10.01,-2.36%,653100
04/04/2022,416.08,423.56,416.08,423.43,8.17,+1.97%,297900
04/01/2022,416.5,417.9718,410.79,415.26,-1.22,-0.29%,311700
03/31/2022,422.43,423.435,416,416.48,-5.94,-1.41%,527000
03/30/2022,426.65,427.72,420.32,422.42,-6.5,-1.52%,413100
03/29/2022,424.54,429.56,421.62,428.92,9.28,+2.21%,1961400
03/28/2022,412.76,419.71,411.28,419.64,5.12,+1.24%,514700
03/25/2022,415.64,416.2499,409.635,414.52,-0.97,-0.23%,307100
03/24/2022,406.5,415.49,405.4922,415.49,9.91,+2.44%,341500
03/23/2022,407.65,412.31,404.741,405.58,-6.27,-1.52%,388400
03/22/2022,405.48,414.1,405.22,411.85,6.49,+1.60%,413300
03/21/2022,404.92,407.8,399.94,405.36,-1.03,-0.25%,488200
03/18/2022,395.85,406.88,393.96,406.39,9.1,+2.29%,506400
03/17/2022,390.46,397.29,389.06,397.29,4.27,+1.09%,410500
03/16/2022,383.8,393.175,378.7918,393.02,13.88,+3.66%,666700
03/15/2022,369.5,380,368.242,379.14,12.33,+3.36%,508600
03/14/2022,373.39,377.02,365.923,366.81,-8.11,-2.16%,1091400
03/11/2022,386.39,386.39,374.5,374.92,-7.96,-2.08%,796300
03/10/2022,382.67,383.8899,377.01,382.88,-6.73,-1.73%,988300
03/09/2022,383.56,391.01,381.47,389.61,15.93,+4.26%,664600
03/08/2022,374.52,385.52,368.57,373.68,-1.85,-0.49%,1789600
03/07/2022,390.16,392.06,375.17,375.53,-14.63,-3.75%,884200
03/04/2022,395.42,396.83,387.3738,390.16,-7.94,-1.99%,435500
03/03/2022,407.13,407.13,396.22,398.1,-6.29,-1.56%,370100
03/02/2022,398.55,405.99,395.5,404.39,8.25,+2.08%,358900
03/01/2022,402.59,404.98,393,396.14,-7.77,-1.92%,355700
02/28/2022,400.15,406.02,397.29,403.91,0.09,+0.02%,592500
02/25/2022,398.86,403.95,393.95,403.82,5.73,+1.44%,670700
02/24/2022,370.88,398.61,369.01,398.09,13.88,+3.61%,2309900
02/23/2022,398.11,399.59,383.62,384.21,-9.97,-2.53%,718400
02/22/2022,394.59,400.9806,390.19,394.18,-3.91,-0.98%,2183400
02/18/2022,404.57,405.04,395.28,398.09,-5.04,-1.25%,646500
02/17/2022,412.71,412.99,402.5,403.13,-13.71,-3.29%,456300
02/16/2022,414.2,418.1,409.8,416.84,-0.74,-0.18%,330100
02/15/2022,412.18,417.8,411.055,417.58,11.69,+2.88%,369300
02/14/2022,404.87,409.66,401.4064,405.89,-0.07,-0.02%,2260100
02/11/2022,419.5,421.72,404.36,405.96,-13.23,-3.16%,1448800
02/10/2022,421.58,429.47,416.72,419.19,-10.49,-2.44%,766500
02/09/2022,424.8,429.68,423.15,429.68,10.3,+2.46%,1191800
02/08/2022,412.55,420.59,411.42,419.38,5.34,+1.29%,273900
02/07/2022,416.84,419.84,412.38,414.04,-2.04,-0.49%,351900
02/04/2022,412.27,419.73,409.59,416.08,3.15,+0.76%,457100
02/03/2022,419.15,422.36,411.385,412.93,-13.28,-3.12%,688500
02/02/2022,425.23,427.15,420.62,426.21,2.2,+0.52%,504500
02/01/2022,423,424.62,417.01,424.01,1.75,+0.41%,1590200
01/31/2022,410.5,422.8,409,422.26,12.42,+3.03%,681000
01/28/2022,397.86,410,391.4,409.84,16.75,+4.26%,936100
01/27/2022,402.79,405,391.61,393.09,-3.36,-0.85%,656900
01/26/2022,406.6,410.365,391.96,396.45,1.37,+0.35%,3886100
01/25/2022,397.17,402.58,390.8,395.08,-9.95,-2.46%,835600
01/24/2022,393.88,405.49,380.63,405.03,2.6,+0.65%,6238200
01/21/2022,409.21,414.6,402.29,402.43,-8.91,-2.17%,1874700
01/20/2022,420.42,425.74,410.79,411.34,-5.18,-1.24%,629400
01/19/2022,424.01,429.23,416.2995,416.52,-5.89,-1.39%,2504800
01/18/2022,427,429.91,421.5,422.41,-11.06,-2.55%,730800
01/14/2022,427.68,433.8228,427.14,433.47,3.47,+0.81%,492900
01/13/2022,444.2,445.725,429.12,430,-12.51,-2.83%,599700
01/12/2022,444.24,447.46,440.4,442.51,1.44,+0.33%,1191200
01/11/2022,434.35,441.75,431.41,441.07,5.75,+1.32%,567200
01/10/2022,427.96,435.88,422,435.32,0.46,+0.11%,2709800
01/07/2022,439.21,441.63,432.12,434.86,-4.49,-1.02%,1835300
01/06/2022,437.33,443.43,435.7066,439.35,-1.67,-0.38%,729300
01/05/2022,453.11,453.97,440.82,441.02,-15.14,-3.32%,946400
01/04/2022,462.4,463,451.79,456.16,-5.84,-1.26%,821500
01/03/2022,458.73,462.5,456.13,462,3.83,+0.84%,556600
12/31/2021,460.34,461.366,457.91,458.17,-2.29,-0.50%,400100
12/30/2021,462.8,465.06,460.02,460.46,-2.42,-0.52%,334500
12/29/2021,462.7,464.56,460.05,462.88,0.04,+0.01%,366700
12/28/2021,466.83,467.06,461.5816,462.84,-3.26,-0.70%,518500
12/27/2021,457.96,466.1,457.96,466.1,9.61,+2.11%,512300
12/23/2021,454.84,458.28,454.3656,456.49,2.48,+0.55%,301300
12/22/2021,447.97,454.3,446.79,454.01,5.36,+1.19%,358900
12/21/2021,441.93,449.07,437.62,448.65,11.78,+2.70%,490900
12/20/2021,435.9,438.12,433.66,436.87,-5.19,-1.17%,569700
12/17/2021,438.76,446.07,436.71,442.06,-1.54,-0.35%,411200
12/16/2021,459.01,459.3236,440.745,443.6,-14.07,-3.07%,626900
12/15/2021,446.33,458.37,441.89,457.67,11.8,+2.65%,495700
12/14/2021,447.65,450.5,440.66,445.87,-7.42,-1.64%,593600
12/13/2021,460.9,462,452.8,453.29,-6.75,-1.47%,448900
12/10/2021,457.31,460.6199,455.1113,460.04,7.34,+1.62%,404000
12/09/2021,457.69,460.6,452.33,452.7,-5.95,-1.30%,329400
12/08/2021,456.02,458.99,452.78,458.65,3.04,+0.67%,323900
12/07/2021,448.47,456.48,448.47,455.61,15.9,+3.62%,505000
12/06/2021,436.8,440.88,431.24,439.71,3.71,+0.85%,522600
12/03/2021,445.64,446.42,430.74,436,-8.25,-1.86%,1024500
12/02/2021,435.67,446.285,434.885,444.25,4.73,+1.08%,837200
12/01/2021,451.55,454.935,439.2,439.52,-8.17,-1.82%,562500
11/30/2021,450.66,454.26,443.845,447.69,-4.46,-0.99%,675900
11/29/2021,447.93,453.46,446.45,452.15,10.03,+2.27%,589200
11/26/2021,446.53,449.76,440.24,442.12,-10.19,-2.25%,565200
11/24/2021,446.12,452.49,443.595,452.31,3.73,+0.83%,437100
11/23/2021,448.65,450.64,442.75,448.58,-2.06,-0.46%,1359400
11/22/2021,458.94,463.6751,450.3353,450.64,-6.83,-1.49%,879900
11/19/2021,456.79,459.42,455.2,457.47,2.65,+0.58%,1182300
11/18/2021,454.4,455.51,450.14,454.82,3.25,+0.72%,443600
11/17/2021,452.86,454.3,450.75,451.57,-1.91,-0.42%,1273700
11/16/2021,448.37,454.105,447.8,453.48,4.68,+1.04%,314200
11/15/2021,450.94,451.52,446.38,448.8,-0.6,-0.13%,410000
11/12/2021,445.48,450.09,444.88,449.4,5.32,+1.20%,366800
11/11/2021,445.12,445.32,443.559,444.08,2.39,+0.54%,270900
11/10/2021,446.55,448.91,440.17,441.69,-8.41,-1.87%,1600700
11/09/2021,452.31,452.89,447.57,450.1,-1.2,-0.27%,355500
11/08/2021,450,452.2,449.26,451.3,3.21,+0.72%,329900
11/05/2021,449.66,451.355,445.4399,448.09,1.51,+0.34%,350800
11/04/2021,441.96,447.54,441.298,446.58,6.29,+1.43%,307900
11/03/2021,438.07,441.03,435.98,440.29,2.64,+0.60%,303600
11/02/2021,435.12,438.555,435.12,437.65,2.97,+0.68%,318700
11/01/2021,434.38,434.87,431.95,434.68,0.52,+0.12%,373100
10/29/2021,428.09,434.43,427.8001,434.16,1.97,+0.46%,282400
10/28/2021,429.79,432.835,429.3701,432.19,4.37,+1.02%,260900
10/27/2021,430.04,431.29,427.72,427.82,-1.62,-0.38%,289400
10/26/2021,431.76,433.22,428.95,429.44,0.57,+0.13%,376200
10/25/2021,428.54,430.26,426.89,428.87,2,+0.47%,267000
10/22/2021,428.28,430.36,425.23,426.87,-1.82,-0.42%,274700
10/21/2021,425.72,429.01,424.53,428.69,1.84,+0.43%,411400
10/20/2021,428.26,428.94,424.89,426.85,-0.83,-0.19%,711700
10/19/2021,425.07,428.145,424.01,427.68,3.9,+0.92%,370900
10/18/2021,417.73,423.97,416.92,423.78,3.92,+0.93%,333700
10/15/2021,418.75,420,417.45,419.86,2.93,+0.70%,397400
10/14/2021,412.54,417.22,412.05,416.93,8.84,+2.17%,595700
10/13/2021,406.77,408.38,404.91,408.09,3.4,+0.84%,608000
10/12/2021,407.77,408,403.936,404.69,-0.96,-0.24%,227500
10/11/2021,406.01,411.12,405.5,405.65,-2.28,-0.56%,257100
10/08/2021,411.62,411.62,407.4757,407.93,-1.93,-0.47%,248900
10/07/2021,409.42,413.1,408.94,409.86,4.36,+1.08%,1655900
10/06/2021,398.57,405.87,397.22,405.5,2.78,+0.69%,1894400
10/05/2021,398.28,405,397.94,402.72,5.73,+1.44%,475800
10/04/2021,405.02,405.02,394.06,396.99,-9.87,-2.43%,873600
10/01/2021,403.14,408.03,398.68,406.86,5.57,+1.39%,687300
09/30/2021,405.91,407.842,401.29,401.29,-2.24,-0.56%,463800
09/29/2021,406.51,408.11,402.97,403.53,-1.81,-0.45%,688200
09/28/2021,412.89,413.72,405.13,405.34,-13.08,-3.13%,1448900
09/27/2021,419.05,419.76,415.78,418.42,-4.14,-0.98%,376200
09/24/2021,419.72,423.26,419.241,422.56,0.04,+0.01%,1653600
09/23/2021,419.24,423.55,417.82,422.52,5.39,+1.29%,356500
09/22/2021,413.23,418.47,411.65,417.13,6.08,+1.48%,327100
09/21/2021,413.41,414.235,409.38,411.05,0.21,+0.05%,342100
09/20/2021,411.8,414.43,405.34,410.84,-8.03,-1.92%,2279200
09/17/2021,423.85,423.85,417.96,418.87,-5.7,-1.34%,328900
09/16/2021,422.28,425.02,420.36,424.57,0.71,+0.17%,245400
09/15/2021,421.16,424.119,418.91,423.86,3.59,+0.85%,301900
09/14/2021,422.65,423.54,419.08,420.27,-0.53,-0.13%,1630700
09/13/2021,423.67,424.63,418.06,420.8,0.03,+0.01%,1192200
09/10/2021,427.46,428.47,420.395,420.77,-4.25,-1.00%,380500
09/09/2021,426.67,428.2549,424.89,425.02,-1.39,-0.33%,245700
09/08/2021,428.89,428.9,423.59,426.41,-2.49,-0.58%,364300
09/07/2021,429.78,430.28,427.13,428.9,-0.45,-0.10%,404500
09/03/2021,426.8,430.2443,426.31,429.35,2.06,+0.48%,259700
